"R"	"threshold"	"wallclock_time"	"p67ci"	"p95ci"	"p99ci"	"p1σ"	"p2σ"	"p3σ"	"mean"	"avg_percent_error"	"dist"	"p"
50	0.05	273.4320000000341	64	94	99	100	100	100	419.7774954262474	-0.0011008447205353988	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
50	0.1	71.54400000002485	63	95	99	100	100	100	419.7774954262474	-0.024692827931381833	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
50	0.2	16.607999999990923	54	85	93	100	100	100	419.7774954262474	-0.19849875449643295	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
100	0.05	360.4260000001952	71	97	100	100	100	100	419.7774954262474	0.003778756722260468	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
100	0.1	92.07000000000687	63	94	99	100	100	100	419.7774954262474	-0.037992353941098234	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
100	0.2	19.541939999998252	52	78	88	100	100	100	419.7774954262474	-0.2193357719100908	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
150	0.05	450.61800000012386	65	93	100	100	100	100	419.7774954262474	-0.011648535964808415	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
150	0.1	114.99600000001413	56	93	98	100	100	100	419.7774954262474	-0.015314692482778502	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
150	0.2	22.734179999990737	53	76	83	100	100	100	419.7774954262474	-0.2117321250764721	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
200	0.05	543.3540000000013	64	90	98	100	100	100	419.7774954262474	-0.006778439201071018	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
200	0.1	136.01700000001512	64	91	97	100	100	100	419.7774954262474	-0.04394966335255934	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
